similarity,target
0.5,1
0.99,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
1.05,1
1.05,1
1.05,1
0.46,1
0.96,1
0.96,1
0.48,1
0.96,1
0.96,1
0.5,1
0.5,1
0.5,1
0.5,1
0.96,1
0.96,1
0.5,1
0.46,1
1.05,1
1.05,1
0.11,1
0.11,1
1.03,1
0.46,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.96,1
0.98,1
0.98,1
0.98,1
0.98,1
0.37,1
0.37,1
0.98,1
0.37,1
0.37,1
0.37,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.46,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.01,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
0.96,1
0.96,1
0.15,1
1.03,1
1.03,1
0.96,1
1.03,1
0.74,1
0.74,1
1.03,1
1.03,1
0.96,1
0.46,1
0.96,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
1.03,1
1.03,1
1.03,1
0.46,1
0.96,1
0.96,1
0.44,1
0.96,1
0.96,1
0.46,1
0.46,1
0.46,1
0.46,1
0.96,1
0.96,1
0.46,1
0.46,1
1.03,1
1.03,1
0.1,1
0.46,1
0.46,1
0.5,1
0.48,1
0.46,1
0.46,1
0.5,1
0.46,1
0.46,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.44,1
0.42,1
0.37,1
0.42,1
0.42,1
0.37,1
0.46,1
0.46,1
0.5,1
0.46,1
0.46,1
0.46,1
0.46,1
0.48,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.46,1
0.5,1
0.46,1
0.48,1
0.5,1
0.52,1
0.46,1
0.46,1
0.46,1
0.52,1
0.51,1
0.48,1
0.46,1
0.46,1
0.08,1
0.5,1
0.46,1
0.46,1
0.5,1
0.11,1
0.11,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.52,1
0.46,1
0.46,1
0.46,1
0.48,1
0.46,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.46,1
0.46,1
0.5,1
0.46,1
0.5,1
0.5,1
0.46,1
0.46,1
0.5,1
0.48,1
0.46,1
0.46,1
0.5,1
0.46,1
0.46,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.42,1
0.42,1
0.37,1
0.42,1
0.42,1
0.37,1
0.46,1
0.46,1
0.5,1
0.46,1
0.46,1
0.46,1
0.46,1
0.48,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.46,1
0.5,1
0.46,1
0.48,1
0.5,1
0.5,1
0.46,1
0.46,1
0.46,1
0.5,1
0.5,1
0.48,1
0.46,1
0.46,1
0.08,1
0.5,1
0.46,1
0.46,1
0.5,1
0.11,1
0.11,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.46,1
0.46,1
0.46,1
0.48,1
0.46,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.46,1
0.46,1
0.5,1
0.46,1
0.5,1
0.5,1
0.11,1
0.74,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.96,1
0.98,1
0.98,1
0.98,1
0.98,1
0.37,1
0.37,1
0.98,1
0.37,1
0.37,1
0.37,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.73,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.11,1
1.03,1
1.03,1
0.74,1
0.73,1
0.74,1
0.71,1
0.74,1
0.74,1
0.74,1
0.74,1
0.74,1
0.73,1
0.65,1
0.65,1
0.44,1
0.74,1
0.74,1
0.65,1
0.74,1
1.03,1
1.03,1
0.74,1
0.75,1
0.96,1
0.46,1
0.96,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
1.03,1
1.03,1
1.03,1
0.46,1
0.96,1
0.96,1
0.44,1
0.96,1
0.96,1
0.46,1
0.46,1
0.46,1
0.46,1
0.96,1
0.96,1
0.46,1
0.46,1
1.03,1
1.03,1
0.11,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.37,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.15,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.46,1
0.46,1
0.11,1
0.15,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.11,1
0.15,1
0.11,1
0.11,1
0.44,1
0.11,1
0.11,1
0.11,1
0.11,1
0.46,1
0.46,1
0.11,1
0.11,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.44,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
0.46,1
1.04,1
1.03,1
1.03,1
1.05,1
1.03,1
1.03,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.96,1
0.98,1
0.98,1
0.98,1
0.98,1
0.42,1
0.42,1
0.98,1
0.42,1
0.42,1
0.37,1
0.74,1
0.74,1
0.77,1
0.74,1
0.74,1
0.74,1
0.74,1
0.75,1
0.77,1
0.74,1
0.77,1
0.77,1
0.77,1
0.74,1
0.05,1
1.03,1
1.05,1
0.74,1
0.75,1
0.77,1
0.74,1
0.74,1
0.74,1
0.74,1
0.77,1
0.77,1
0.75,1
0.65,1
0.65,1
0.48,1
0.77,1
0.74,1
0.65,1
0.77,1
1.03,1
1.03,1
0.74,1
0.77,1
0.99,1
0.5,1
0.99,1
0.5,1
0.5,1
0.5,1
0.46,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
1.05,1
1.05,1
1.05,1
0.46,1
0.96,1
0.96,1
0.48,1
0.96,1
0.96,1
0.5,1
0.5,1
0.5,1
0.5,1
0.96,1
0.96,1
0.5,1
0.46,1
1.05,1
1.05,1
0.75,1
0.75,1
0.77,1
0.75,1
0.75,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.39,1
0.39,1
0.99,1
0.39,1
0.39,1
0.37,1
1.03,1
1.03,1
1.04,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.04,1
1.03,1
1.04,1
1.04,1
1.04,1
1.03,1
0.48,1
0.75,1
0.77,1
1.03,1
1.03,1
1.04,1
1.02,1
1.03,1
1.03,1
1.03,1
1.04,1
1.04,1
1.03,1
0.96,1
0.96,1
0.46,1
1.04,1
1.03,1
0.96,1
1.04,1
1.03,1
1.03,1
1.03,1
1.05,1
1.01,1
0.53,1
1.01,1
0.53,1
0.53,1
0.53,1
0.51,1
0.53,1
0.53,1
0.53,1
0.53,1
0.53,1
0.53,1
0.53,1
0.53,1
0.75,1
0.75,1
0.75,1
0.11,1
0.65,1
0.65,1
0.11,1
0.65,1
0.99,1
0.53,1
0.53,1
0.53,1
0.53,1
0.99,1
0.99,1
0.53,1
0.51,1
0.75,1
0.75,1
0.75,1
0.75,1
0.75,1
0.75,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.37,1
0.37,1
0.99,1
0.37,1
0.37,1
0.37,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.46,1
0.75,1
0.75,1
1.03,1
1.02,1
1.03,1
1.01,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
0.96,1
0.96,1
0.44,1
1.03,1
1.03,1
0.96,1
1.03,1
1.03,1
1.03,1
1.03,1
1.04,1
0.99,1
0.51,1
0.99,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.51,1
0.74,1
0.74,1
0.74,1
0.11,1
0.65,1
0.65,1
0.15,1
0.65,1
0.99,1
0.51,1
0.51,1
0.51,1
0.51,1
0.99,1
0.99,1
0.51,1
0.51,1
0.74,1
0.74,1
0.75,1
0.06,1
0.06,1
0.95,1
0.94,1
0.94,1
0.94,1
0.99,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.39,1
0.37,1
0.99,1
0.37,1
0.37,1
0.37,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.46,1
0.04,1
0.75,1
1.03,1
1.02,1
1.03,1
1.01,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
0.97,1
0.97,1
0.44,1
1.03,1
1.03,1
0.96,1
1.04,1
1.03,1
1.03,1
1.03,1
1.04,1
0.99,1
0.51,1
0.99,1
0.51,1
0.52,1
0.52,1
0.51,1
0.51,1
0.51,1
0.51,1
0.52,1
0.52,1
0.51,1
0.52,1
0.52,1
0.74,1
0.74,1
0.74,1
0.11,1
0.66,1
0.66,1
0.15,1
0.65,1
1,1
0.51,1
0.51,1
0.52,1
0.51,1
0.99,1
1,1
0.52,1
0.51,1
0.74,1
0.74,1
0.75,1
0.75,1
0.94,1
0.94,1
0.94,1
0.94,1
0.98,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.42,1
0.42,1
0.99,1
0.42,1
0.42,1
0.37,1
1.03,1
1.03,1
1.05,1
1.03,1
1.03,1
1.03,1
1.03,1
1.04,1
1.05,1
1.03,1
1.05,1
1.05,1
1.05,1
1.03,1
0.5,1
0.75,1
0.78,1
1.03,1
1.04,1
1.05,1
1.03,1
1.03,1
1.03,1
1.03,1
1.05,1
1.05,1
1.04,1
0.96,1
0.96,1
0.48,1
1.05,1
1.03,1
0.96,1
1.05,1
1.03,1
1.03,1
1.03,1
1.06,1
1.02,1
0.55,1
1.02,1
0.55,1
0.55,1
0.55,1
0.51,1
0.55,1
0.55,1
0.55,1
0.55,1
0.55,1
0.55,1
0.55,1
0.55,1
0.77,1
0.77,1
0.77,1
0.11,1
0.65,1
0.65,1
0.08,1
0.65,1
0.99,1
0.55,1
0.55,1
0.55,1
0.55,1
0.99,1
0.99,1
0.55,1
0.51,1
0.77,1
0.77,1
0.06,1
0.95,1
0.94,1
0.94,1
0.94,1
0.99,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.39,1
0.37,1
0.99,1
0.37,1
0.37,1
0.37,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.46,1
0.04,1
0.75,1
1.03,1
1.02,1
1.03,1
1.01,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
0.97,1
0.97,1
0.44,1
1.03,1
1.03,1
0.96,1
1.04,1
1.03,1
1.03,1
1.03,1
1.04,1
0.99,1
0.51,1
0.99,1
0.51,1
0.52,1
0.52,1
0.51,1
0.51,1
0.51,1
0.51,1
0.52,1
0.52,1
0.51,1
0.52,1
0.52,1
0.74,1
0.74,1
0.74,1
0.11,1
0.66,1
0.66,1
0.15,1
0.65,1
1,1
0.51,1
0.51,1
0.52,1
0.51,1
0.99,1
1,1
0.52,1
0.51,1
0.74,1
0.74,1
0.95,1
0.94,1
0.94,1
0.94,1
0.99,1
0.98,1
0.98,1
0.97,1
0.98,1
0.98,1
0.98,1
0.98,1
0.39,1
0.37,1
0.99,1
0.37,1
0.37,1
0.37,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
0.46,1
0.04,1
0.75,1
1.03,1
1.02,1
1.03,1
1.01,1
1.03,1
1.03,1
1.03,1
1.03,1
1.03,1
1.02,1
0.97,1
0.97,1
0.44,1
1.03,1
1.03,1
0.96,1
1.04,1
1.03,1
1.03,1
1.03,1
1.04,1
0.99,1
0.51,1
0.99,1
0.51,1
0.52,1
0.52,1
0.51,1
0.51,1
0.51,1
0.51,1
0.52,1
0.52,1
